Lead ID No.,Lead Name,Lead Type(s),Lead Number,Time  zone,Currency,Tags,Title,Middle Initial,First Name,Last Name,Work Email,Work Phone,Job Function,Contact Name,Doing Business as (DBA),Tax ID (EIN),Number of Employees,Estimated Annual Revenue,Ownership Type,Stage,Founded Year,Industry,Lead Email,Lead Phone,SIC Code,NAICS Code,Lead Source,Rating,Status,Notes,Address Type,Address Class,Street Address 1,Street Address 2,Country,State,City,Zip/Postal Code,Attn.
LD21379,AddMultiContacts,One_Type,,(GMT-09:00) Alaska,Dollars - BMD,B1-Busniess,Mr,,AddMultiContacts,AddMultiContacts,,,Super Admin,AddMultiContacts AddMultiContacts,,,1001 or more,$1M to $2M,General Partnerships,New,2002, Accounting,,,522,456,Ra-tings278,5++,Cold,Note Added,Billing,Commercial,,,Vietnam,Hanoi,,,AddMultiContacts  AddMultiContacts
LD21377,Import_Lead 2,One_Type,,(GMT-07:00) Mountain Time (US and Canada),Dollars - BMD,Hot Lead,Mr,,Import_Lead 2,Import_Lead 2,import02@gmail.com,8788526632,Super Admin,Import_Lead 2 Import_Lead 2,12,500,1001 or more,$10M to more,Cooperative Societies,New,2001, Accounting,import02@gmail.com,8788526632,120,130,Ra-tings278,5++,Cold,Notes Add By ,Billing,Commercial,,,Vietnam,Hanoi,,,Import_Lead 2  Import_Lead 2
LD21378,Import_Lead 3,One_Type,,(GMT-07:00) Mountain Time (US and Canada),Dollars - BMD,Hot Lead,Mr,,Import_Lead 3,Import_Lead 3,import02@gmail.com,8788526632,Super Admin,Import_Lead 3 Import_Lead 3,12,500,1001 or more,$10M to more,Cooperative Societies,New,2001, Accounting,import02@gmail.com,8788526632,120,130,Ra-tings278,5++,Cold,Notes Add By ,Billing,Commercial,,,Vietnam,Hanoi,,,Import_Lead 3  Import_Lead 3
LD21376,Import_Lead 1,One_Type,,(GMT-07:00) Mountain Time (US and Canada),Dollars - BMD,Hot Lead,Mr,,Import_Lead 1,Import_Lead 1,import02@gmail.com,8788526632,Super Admin,Import_Lead 1 Import_Lead 1,12,500,1001 or more,$10M to more,Cooperative Societies,New,2001, Accounting,import02@gmail.com,8788526632,120,130,Ra-tings278,5++,Cold,Notes Add By ,Billing,Commercial,,,Vietnam,Hanoi,,,Import_Lead 1  Import_Lead 1
LD21372,Lead Automation Channel,Type-Leads332,,,Dollars - BMD,"HotAccount, A-GOOD, B1-Busniess, B2-Business, B3-Busniess",Mr,,Ziya ABbas,Ziya ABbas,,,Super Admin,Ziya ABbas Ziya ABbas,,,1001 or more,$10M to more,Cooperative Societies,New,, Accounting,,,,,Ra-tings278,5++,,,Billing,Commercial,Guru Gobind Singh Marg Railway Officers Colony Sarai Rohilla,,India,Delhi,New Delhi,110005,
LD1574,lead 6777,,,,Dollars - BMD,,Mr,,lead 6777,lead 6777,,,Super Admin,lead 6777 lead 6777,,,,$1M to $2M,General Partnerships,New,,Advertising and Marketing and PR,,,,,Book,AAA1,,,,,,,,,,,
LD1570,test other channel,,,,Dollars - BMD,,Mr,,test other channel,test other channel,,,Super Admin,test other channel test other channel,,,1001+,$1M to $2M,General Partnerships,New,,Advertising and Marketing and PR,,,,,Book,AAA1,,,,,,,,,,,
LD1139,scriptLead694,,101887,(GMT-09:00) Alaska,Baht - THB,,Mr,MName723,FName223,LName379,leadcontact630@lionobytes.com,97393995851,Super Admin,FName223 MName723 LName379,DBA620,787,201-500,$3M to $5M,Cooperative Societies,Assigned,2019, Accounting,leadcontact544@lionobytes.com,97393995851,776,317,ATT Website,B++,Cold,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName223 MName723 LName379
LD1138,scriptLead119,,101637,(GMT-09:00) Alaska,Baht - THB,,Mr,MName483,FName106,LName513,leadcontact788@lionobytes.com,97393995729,Super Admin,FName106 MName483 LName513,DBA324,390,201-500,$3M to $5M,Cooperative Societies,Assigned,2019, Accounting,leadcontact788@lionobytes.com,97393995729,151,425,ATT Website,B++,Cold,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName106 MName483 LName513
LD1119,scriptLead553,,101583,(GMT-09:00) Alaska,Baht - THB,,Mr,MName960,FName271,LName712,leadcontact051@lionobytes.com,97393995788,Super Admin,FName271 MName960 LName712,DBA695,894,201-500,$3M to $5M,Cooperative Societies,Assigned,2019, Accounting,leadcontact662@lionobytes.com,97393995788,563,989,ATT Website,B++,,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName271 MName960 LName712
LD1118,scriptLead264,,101256,(GMT-09:00) Alaska,Baht - THB,,Mr,MName052,FName859,LName693,leadcontact815@lionobytes.com,97393995930,Super Admin,FName859 MName052 LName693,DBA840,8,201-500,$3M to $5M,,Assigned,2019, Accounting,leadcontact815@lionobytes.com,97393995930,826,564,ATT Website,B++,,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName859 MName052 LName693
LD1114,scriptLead746,,101615,(GMT-09:00) Alaska,Baht - THB,,Mr,MName799,FName684,LName484,leadcontact417@lionobytes.com,97393995114,Super Admin,FName684 MName799 LName484,DBA806,385,201-500,$3M to $5M,Cooperative Societies,Assigned,2019, Accounting,leadcontact421@lionobytes.com,97393995114,915,79,ATT Website,B++,Cold,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName684 MName799 LName484
LD1113,scriptLead726,,101264,(GMT-09:00) Alaska,Baht - THB,,Mr,MName689,FName666,LName194,leadcontact610@lionobytes.com,97393995994,Super Admin,FName666 MName689 LName194,DBA351,546,201-500,$3M to $5M,,Assigned,2019, Accounting,leadcontact338@lionobytes.com,97393995994,776,79,ATT Website,B++,,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName666 MName689 LName194
LD1112,scriptLead903,,101527,(GMT-09:00) Alaska,Baht - THB,,Mr,MName179,FName198,LName264,leadcontact335@lionobytes.com,97393995656,Super Admin,FName198 MName179 LName264,DBA034,814,201-500,$3M to $5M,,Assigned,2019, Accounting,leadcontact141@lionobytes.com,97393995656,570,493,ATT Website,B++,,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName198 MName179 LName264
LD1111,scriptLead989,,101982,(GMT-09:00) Alaska,Baht - THB,,Mr,MName975,FName542,LName538,leadcontact340@lionobytes.com,97393995403,Super Admin,FName542 MName975 LName538,DBA405,494,201-500,$3M to $5M,,Assigned,2019, Accounting,leadcontact855@lionobytes.com,97393995403,375,806,ATT Website,B++,,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName542 MName975 LName538
LD1110,scriptLead438,,101390,(GMT-09:00) Alaska,Baht - THB,,Mr,MName567,FName080,LName004,leadcontact535@lionobytes.com,97393995830,Super Admin,FName080 MName567 LName004,DBA431,539,201-500,$3M to $5M,,Assigned,2019, Accounting,leadcontact238@lionobytes.com,97393995830,117,626,ATT Website,B++,,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName080 MName567 LName004
LD1109,scriptLead965,,101566,(GMT-09:00) Alaska,Baht - THB,,Mr,MName313,FName515,LName243,leadcontact553@lionobytes.com,97393995660,Super Admin,FName515 MName313 LName243,DBA594,105,201-500,$3M to $5M,,Assigned,2019, Accounting,leadcontact986@lionobytes.com,97393995660,929,633,ATT Website,B++,Cold,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName515 MName313 LName243
LD1108,scriptLead250,,101822,(GMT-09:00) Alaska,Baht - THB,,Mr,MName477,FName194,LName286,leadcontact650@lionobytes.com,97393995102,Super Admin,FName194 MName477 LName286,DBA066,32,201-500,$3M to $5M,,Assigned,2019, Accounting,leadcontact217@lionobytes.com,97393995102,425,950,ATT Website,B++,,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName194 MName477 LName286
LD1107,scriptLead243,,101237,(GMT-09:00) Alaska,Baht - THB,,Mr,MName186,FName073,LName137,leadcontact376@lionobytes.com,97393995665,Super Admin,FName073 MName186 LName137,DBA791,930,201-500,$3M to $5M,,Assigned,2019, Accounting,leadcontact425@lionobytes.com,97393995665,432,3,ATT Website,B++,,Lead Details,Billing,Residential,55 Stockton Street,,USA,NJ,Princeton,8540,FName073 MName186 LName137
